frequency,spl_le,spl_te
20.0,,
20.13877262952056,,
20.27850815117631,,
20.419213246120933,,
20.560894641866188,,
20.70355911260353,,
20.84721347952804,,
20.991864611164555,,
21.137519423696084,,
21.28418488129449,,
21.431867996453427,,
21.580575830323685,,
21.73031549305077,,
21.88109414411485,,
22.03291899267313,,
22.185797297904458,,
22.339736369356466,,
22.494743567295043,,
22.650826303056235,,
22.80799203940065,,
22.966248290870222,,
23.12560262414752,,
23.28606265841754,,
23.44763606573197,,
23.610330571376103,,
23.77415395423807,,
23.93911404718088,,
24.10521873741685,,
24.27247596688481,,
24.440893732629764,,
24.61048008718524,,
24.781243138958327,,
24.9531910526174,,
25.12633204948242,44.357256853739386,30.87289366380689
25.300674407918063,44.34329162948398,30.93840003965306
25.47622646372957,44.32922950568398,31.00436094010056
25.65299661056121,44.315069809989176,31.07077951892809
25.830993300297685,44.30081186538412,31.137658951797267
26.01022504346819,44.286454990155846,31.20500243640445
26.190700409653346,44.27199849786122,31.272813192633627
26.372428027894973,44.25744169729413,31.341094462710394
26.5554165871086,44.24278389245242,31.40984951135694
26.73967483649893,44.22802438250468,31.47908162594816
26.92521158597821,44.21316246175664,31.54879411666884
27.112035706587367,44.19819741961751,31.61899031667189
27.30015613092028,44.18312854056594,31.68967358223779
27.48958185355075,44.16795510411588,31.760847292934976
27.68032193146264,44.152676384782076,31.832514851781468
27.87238548448286,44.13729165204538,31.904679685407583
28.06578169571745,44.12180017031787,31.977345244219755
28.26051981199068,44.106201198907634,32.050515002565525
28.456609144287057,44.09049399198338,32.12419245889965
28.654059068196624,44.07467779853876,32.19838113595137
28.852879024363165,44.05875186235647,32.27308458089284
29.053078518935628,44.042715421972105,32.348306365508755
29.254667124022603,44.02656771063773,32.42405008636708
29.45765447815005,44.01030795628522,32.50031936499107
29.66205028672209,43.99393538148936,32.57711784803238
29.86786432248505,43.97744920343068,32.654449207445424
30.07510642599477,43.96084863385801,32.701099065860575
30.283786506087043,43.94413287905078,32.7419172856019
30.49391454035148,43.9273011397811,32.78301872792752
30.705500575608458,43.91035261127552,32.824405358014566
30.91855472838956,43.89328648317659,32.86607915467582
31.13308718542125,43.87610193950405,32.908042110454325
31.349108204111904,43.85879815861589,32.95029623171861
31.566628113042352,43.83703568113054,32.99284353875869
31.785657312459563,43.80170964516116,33.03568606588263
32.00620627477402,43.766138494846686,33.07882586151378
32.2282855450604,43.73032052942901,33.12226498828876
32.451905741561745,43.69425403634907,33.16600552315607
32.677077556197226,43.65793729116502,33.2100495574754
32.90381175507326,43.62136855746972,33.254399197117586
33.132119178998295,43.58454608680778,33.29905656256534
33.36201074400119,43.547468118591866,33.34402378901463
33.59349744185307,43.51013288001863,33.38930302647674
33.826590340592965,43.472538585983855,33.43489643988113
34.06130058505689,43.43468343899718,33.48080620917886
34.297639397410805,43.39656562909609,33.527034529446894
34.535618077687126,43.35818333375943,33.573583610993026
34.775248004325015,43.31953471782022,33.62045567946156
35.01654063471449,43.28061793337795,33.6676529759397
35.25950750574412,43.24143111971019,33.71517775706479
35.50416023435271,43.20197240318368,33.76303229513207
35.75051051808472,43.16223989716468,33.81121887820346
35.99857013564954,43.1222317019288,33.859739810216865
36.24835094748474,43.08194590457015,33.90859741109639
36.499864896323054,43.0413805789099,33.95779401686322
36.75312400776343,43.0005337854042,34.007331979747335
37.008140390846044,42.95940357105138,34.05721366829998
37.264926238631205,42.91798796929864,34.10744146750689
37.523493828782414,42.876284999947984,34.158017778902355
37.78385552415333,42.83429266906155,34.208945020684006
38.0460237733789,42.79200896886626,34.26022562782847
38.310011111470565,42.749431877657884,34.31186205220777
38.57583016041556,42.70655935970429,34.36385676270659
38.84349362978051,42.66338936514817,34.416212245340255
39.113014317318985,42.619919829908994,34.46893100337367
39.384405109583454,42.57925955584513,34.52201555744095
39.65767898254144,42.540810806740836,34.575468445665976
39.93284900219587,42.50209527593581,34.629292223783715
40.209928325209965,42.46311111233012,34.649981657970855
40.488930199536085,42.423856451979766,34.670747419113944
40.76986796504927,42.384329418007525,34.69165726622093
41.05275505418505,42.34452812051321,34.712712199051204
41.337604992581646,42.30445065648332,34.73391322430114
41.62443139972677,42.26409510970003,34.7552613556522
41.91324798960866,42.22345955064959,34.77675761381941
42.20406857137191,42.182542036430085,34.798403026600155
42.49690704997767,42.141340610658496,34.820198628923336
42.79177742686844,42.09985330337719,34.84214546289883
43.08869380063767,42.05807813095973,34.86424457786734
43.38767036770369,42.01601309601601,34.88649703045057
43.68872142298855,41.97365618729679,34.90890388460171
43.991861360601504,41.9310053795975,34.93146621165635
44.29710467452719,41.888058633661444,34.95418509038365
44.60446595931875,41.84481389608223,34.977061607038
44.91395991079549,41.80126909920568,35.00009685541087
45.225601326745576,41.75742216103091,35.02329193688315
45.539405107633605,41.71327098511079,35.04664796047782
45.85538625731298,41.66881346045172,35.070166042912966
46.17355988374338,41.624047461412715,35.09384730865515
46.49394119971296,41.57897084760372,35.117692889973206
46.81654552356587,41.533581463783314,35.14170392699236
47.14138827993456,41.48787713975565,35.16588156774875
47.46848500047733,41.441855690266706,35.190226968244296
47.79785132462101,41.395514914899756,35.21474129250203
48.12950300030849,41.34885259797023,35.23942571262167
48.463455884752,41.30186650841971,35.264281408835714
48.79972594519101,41.2545543997093,35.28930956956587
49.13832925965581,41.20691400971219,35.314511391479854
49.47928201773629,41.15894306060552,35.33988807954863
49.822600521355774,41.110639258761445,35.366593873772686
50.1683011855508,41.076137660667534,35.39550004160375
50.5164005392557,41.04753868867604,35.42460677868079
