frequency,spl_le,spl_te
20.0,45.38826051446455,31.125048526248708
20.13877262952056,45.36359582720109,31.145132583819127
20.27850815117631,45.33876000076223,31.165355997263568
20.419213246120933,45.31375184767632,31.185719733521086
20.560894641866188,45.28857017223224,31.206224766239977
20.70355911260353,45.26321377042231,31.226872075824303
20.84721347952804,45.23768142988467,31.24766264948081
20.991864611164555,45.211971929845305,31.268597481266088
21.137519423696084,45.18608404105974,31.289677572134146
21.28418488129449,45.1600165257542,31.31090392998421
21.431867996453427,45.13376813756646,31.33227756970897
21.580575830323685,45.107337621486245,31.353799513243096
21.73031549305077,45.08072371379523,31.375470789612045
21.88109414411485,45.05392514200661,31.39729243498133
22.03291899267313,45.02694062480426,31.41926549270604
22.185797297904458,44.99976887198149,31.441391013380706
22.339736369356466,44.97240858437932,31.463670054889537
22.494743567295043,44.9448584538244,31.486103682457045
22.650826303056235,44.91711716306645,31.508692968698917
22.80799203940065,44.889183385715256,31.53143899367332
22.966248290870222,44.86105578617729,31.554342844932567
23.12560262414752,44.83273301959183,31.577405617575085
23.28606265841754,44.80421373176664,31.600628414297784
23.44763606573197,44.77549655911328,31.624012345448783
23.610330571376103,44.74658012858185,31.647558529080506
23.77415395423807,44.71746305759535,31.67126809100311
23.939114047180876,44.68814395398361,31.695142164838355
24.105218737416852,44.65862141591671,31.71918189207377
24.27247596688481,44.62889403183793,31.743388422117263
24.440893732629764,44.59896038039628,31.76776291235204
24.610480087185238,44.568819030378535,31.79230652819197
24.781243138958327,44.53846854064083,31.817020443137302
24.9531910526174,44.50790746003972,31.841905838830773
25.12633204948242,44.47938521971417,31.86696390511409
25.300674407918063,44.45219628061176,31.89219584008485
25.47622646372957,44.424818687480695,31.91760285015381
25.65299661056121,44.3972511313202,31.94318615010253
25.830993300297685,44.3694922940468,31.968946963141548
26.01022504346819,44.34154084843136,31.994886520968763
26.190700409653346,44.31339545803558,32.02100606382839
26.372428027894973,44.28505477714809,32.04730684057024
26.5554165871086,44.25651745072014,32.07379010870944
26.73967483649893,44.2277821143008,32.10045713448653
26.92521158597821,44.1988473939717,32.12730919292806
27.112035706587367,44.16971190628138,32.154347567907486
27.30015613092028,44.1403742581791,32.1815735522066
27.48958185355075,44.110833046948265,32.20898844757734
27.68032193146264,44.081086860139344,32.23659356480401
27.87238548448286,44.05113427550234,32.26439022376597
28.06578169571745,44.02097386091879,32.29237975350073
28.26051981199068,43.99060417433327,32.32056349226751
28.456609144287057,43.9600237636845,32.348942787611215
28.654059068196624,43.92923116683584,32.37751899642685
28.852879024363165,43.898224911505466,32.40629348502444
29.053078518935628,43.867003515195904,32.43526762919432
29.254667124022603,43.83556548512318,32.46444281427293
29.45765447815005,43.80390931814546,32.493820435209045
29.66205028672209,43.77203350069112,32.52340189663048
29.86786432248505,43.73993650868648,32.553188612911235
30.07510642599477,43.70761680748282,32.57944456012167
30.283786506087043,43.67507285178311,32.60514576819955
30.49391454035148,43.64230308556801,32.63102530748876
30.705500575608458,43.60930594202159,32.65708441536388
30.91855472838956,43.57607984345635,32.68332433778513
31.13308718542125,43.542623201237774,32.709746329358026
31.349108204111904,43.50893441570842,32.73635165339331
31.566628113042352,43.4750118761114,32.76314158196737
31.785657312459563,43.44085396051339,32.790117395983074
32.00620627477402,43.406459035727046,32.817280385231
32.2282855450604,43.37182545723297,32.84463184845111
32.451905741561745,43.33695156910103,32.87217309339483
32.677077556197226,43.3018357039112,32.89990543688761
32.90381175507326,43.26647618267386,32.92783020489185
33.132119178998295,43.230871314749486,32.95594873257032
33.36201074400119,43.19501939776783,32.98426236435
33.59349744185307,43.15891871754653,33.01277245398635
33.826590340592965,43.12256754800914,33.04148036462804
34.06130058505689,43.0895133743364,33.07038746888211
34.297639397410805,43.06326046264883,33.09949514887965
34.535618077687126,43.03682539168187,33.128804796341804
34.775248004325015,43.01020689749945,33.158317812646395
35.01654063471449,42.98340370739544,33.188035608894864
35.25950750574412,42.95641453983292,33.21795960597979
35.50416023435271,42.92923810438283,33.248091234652776
35.75051051808472,42.90187310166233,33.27843193559289
35.99857013564954,42.87431822327261,33.30898315947556
36.24835094748474,42.846572151736375,33.33974636704189
36.499864896323054,42.81863356043484,33.37072302916854
36.75312400776343,42.79050111354431,33.401914626938044
37.008140390846044,42.76217346597228,33.433322651709624
37.264926238631205,42.73364926329317,33.464948605190486
37.523493828782414,42.70492714168353,33.496793999507624
