latitude,longitude,altitude,salinity
41.44360376,-9.30476334,-5727.9165,
41.44360376,-9.30476334,-5274.784,
41.44360376,-9.30476334,-4833.2905,
41.44360376,-9.30476334,-4405.224,
41.44360376,-9.30476334,-3992.484,
41.44360376,-9.30476334,-3597.032,
41.44360376,-9.30476334,-3220.8203,
41.44360376,-9.30476334,-2865.7026,
41.44360376,-9.30476334,-2533.3362,
41.44360376,-9.30476334,-2225.078,
41.44360376,-9.30476334,-1941.8934,
41.44360376,-9.30476334,-1684.2844,
41.44360376,-9.30476334,-1452.251,0.035916000755969436
41.44360376,-9.30476334,-1245.2911,0.03616100076760631
41.44360376,-9.30476334,-1062.4397,0.03618000076850876
41.44360376,-9.30476334,-902.3393,0.0361650007677963
41.44360376,-9.30476334,-763.33307,0.03617100076808129
41.44360376,-9.30476334,-643.56683,0.0360870007640915
41.44360376,-9.30476334,-541.0889,0.03586300075345207
41.44360376,-9.30476334,-453.93774,0.03568700074509252
41.44360376,-9.30476334,-380.213,0.03563200074248016
41.44360376,-9.30476334,-318.12744,0.03562200074200519
41.44360376,-9.30476334,-266.04025,0.03562700074224267
41.44360376,-9.30476334,-222.47517,0.035646000743145126
41.44360376,-9.30476334,-186.12556,0.03567300074442756
41.44360376,-9.30476334,-155.85072,0.0356950007454725
41.44360376,-9.30476334,-130.66599,0.03572000074665994
41.44360376,-9.30476334,-109.72928,0.03574200074770488
41.44360376,-9.30476334,-92.32607,0.03576200074865483
41.44360376,-9.30476334,-77.85385,0.0357750007492723
41.44360376,-9.30476334,-65.807274,0.03578000074950978
41.44360376,-9.30476334,-55.76429,0.03578100074955728
41.44360376,-9.30476334,-47.373688,0.0357740007492248
41.44360376,-9.30476334,-40.34405,0.03575200074817985
41.44360376,-9.30476334,-34.434155,0.035703000745852476
41.44360376,-9.30476334,-29.444729,0.0356530007434776
41.44360376,-9.30476334,-25.211409,0.035606000741245224
41.44360376,-9.30476334,-21.598816,0.03555600073887035
41.44360376,-9.30476334,-18.49556,0.03551100073673297
41.44360376,-9.30476334,-15.810073,0.035480000735260545
41.44360376,-9.30476334,-13.467138,0.0354590007342631
41.44360376,-9.30476334,-11.405003,0.035446000733645636
41.44360376,-9.30476334,-9.572997,0.03544000073336065
41.44360376,-9.30476334,-7.92956,0.03543600073317066
41.44360376,-9.30476334,-6.440614,0.03543500073312316
41.44360376,-9.30476334,-5.0782237,0.03543500073312316
41.44360376,-9.30476334,-3.8194947,0.03543500073312316
41.44360376,-9.30476334,-2.6456685,0.03543400073307566
41.44360376,-9.30476334,-1.5413754,0.03543500073312316
41.44360376,-9.30476334,-0.49402538,0.03543500073312316
41.44360376,-9.27698471,-5727.9165,
41.44360376,-9.27698471,-5274.784,
41.44360376,-9.27698471,-4833.2905,
41.44360376,-9.27698471,-4405.224,
41.44360376,-9.27698471,-3992.484,
41.44360376,-9.27698471,-3597.032,
41.44360376,-9.27698471,-3220.8203,
41.44360376,-9.27698471,-2865.7026,
41.44360376,-9.27698471,-2533.3362,
41.44360376,-9.27698471,-2225.078,
41.44360376,-9.27698471,-1941.8934,
41.44360376,-9.27698471,-1684.2844,
41.44360376,-9.27698471,-1452.251,
41.44360376,-9.27698471,-1245.2911,0.03614200076670386
41.44360376,-9.27698471,-1062.4397,0.03617700076836627
41.44360376,-9.27698471,-902.3393,0.03616900076798629
41.44360376,-9.27698471,-763.33307,0.036175000768271286
41.44360376,-9.27698471,-643.56683,0.03609600076451898
41.44360376,-9.27698471,-541.0889,0.03587100075383205
41.44360376,-9.27698471,-453.93774,0.03569900074566249
41.44360376,-9.27698471,-380.213,0.03564000074286014
41.44360376,-9.27698471,-318.12744,0.03562500074214768
41.44360376,-9.27698471,-266.04025,0.03562700074224267
41.44360376,-9.27698471,-222.47517,0.03564400074305013
41.44360376,-9.27698471,-186.12556,0.03566900074423757
41.44360376,-9.27698471,-155.85072,0.03569200074533001
41.44360376,-9.27698471,-130.66599,0.03571500074642245
41.44360376,-9.27698471,-109.72928,0.0357350007473724
41.44360376,-9.27698471,-92.32607,0.035754000748274846
41.44360376,-9.27698471,-77.85385,0.035767000748892316
41.44360376,-9.27698471,-65.807274,0.035772000749129805
41.44360376,-9.27698471,-55.76429,0.03577100074908231
41.44360376,-9.27698471,-47.373688,0.035763000748702325
41.44360376,-9.27698471,-40.34405,0.03574100074765738
41.44360376,-9.27698471,-34.434155,0.0356950007454725
41.44360376,-9.27698471,-29.444729,0.035647000743192624
41.44360376,-9.27698471,-25.211409,0.03560100074100774
41.44360376,-9.27698471,-21.598816,0.03555100073863287
41.44360376,-9.27698471,-18.49556,0.03550400073640048
41.44360376,-9.27698471,-15.810073,0.035470000734785574
41.44360376,-9.27698471,-13.467138,0.03544800073374063
41.44360376,-9.27698471,-11.405003,0.035433000733028165
41.44360376,-9.27698471,-9.572997,0.03542500073264819
41.44360376,-9.27698471,-7.92956,0.0354210007324582
41.44360376,-9.27698471,-6.440614,0.0354200007324107
41.44360376,-9.27698471,-5.0782237,0.035419000732363204
41.44360376,-9.27698471,-3.8194947,0.035418000732315706
41.44360376,-9.27698471,-2.6456685,0.035418000732315706
41.44360376,-9.27698471,-1.5413754,0.035418000732315706
41.44360376,-9.27698471,-0.49402538,0.035418000732315706
41.44360376,-9.24920608,-5727.9165,
41.44360376,-9.24920608,-5274.784,
41.44360376,-9.24920608,-4833.2905,
41.44360376,-9.24920608,-4405.224,
41.44360376,-9.24920608,-3992.484,
41.44360376,-9.24920608,-3597.032,
41.44360376,-9.24920608,-3220.8203,
