latitude,longitude,altitude,temperature
41.44360376,-9.30476334,-5727.9165,
41.44360376,-9.30476334,-5274.784,
41.44360376,-9.30476334,-4833.2905,
41.44360376,-9.30476334,-4405.224,
41.44360376,-9.30476334,-3992.484,
41.44360376,-9.30476334,-3597.032,
41.44360376,-9.30476334,-3220.8203,
41.44360376,-9.30476334,-2865.7026,
41.44360376,-9.30476334,-2533.3362,
41.44360376,-9.30476334,-2225.078,
41.44360376,-9.30476334,-1941.8934,
41.44360376,-9.30476334,-1684.2844,
41.44360376,-9.30476334,-1452.251,282.05799994813276
41.44360376,-9.30476334,-1245.2911,283.91200003619304
41.44360376,-9.30476334,-1062.4397,284.41900006027424
41.44360376,-9.30476334,-902.3393,284.9370000848779
41.44360376,-9.30476334,-763.33307,285.23800009917466
41.44360376,-9.30476334,-643.56683,285.1920000969898
41.44360376,-9.30476334,-541.0889,284.92100008411796
41.44360376,-9.30476334,-453.93774,284.7520000760909
41.44360376,-9.30476334,-380.213,284.81600007913073
41.44360376,-9.30476334,-318.12744,285.07600009148007
41.44360376,-9.30476334,-266.04025,285.3830001060618
41.44360376,-9.30476334,-222.47517,285.71700012192593
41.44360376,-9.30476334,-186.12556,285.99400013508273
41.44360376,-9.30476334,-155.85072,286.25200014733707
41.44360376,-9.30476334,-130.66599,286.54100016106383
41.44360376,-9.30476334,-109.72928,286.84700017559805
41.44360376,-9.30476334,-92.32607,287.1410001895623
41.44360376,-9.30476334,-77.85385,287.39000020138917
41.44360376,-9.30476334,-65.807274,287.6230002124561
41.44360376,-9.30476334,-55.76429,287.860000223713
41.44360376,-9.30476334,-47.373688,288.1630002381047
41.44360376,-9.30476334,-40.34405,288.5230002552038
41.44360376,-9.30476334,-34.434155,288.92500027429776
41.44360376,-9.30476334,-29.444729,289.27800029106436
41.44360376,-9.30476334,-25.211409,289.5830003055511
41.44360376,-9.30476334,-21.598816,289.83800031766293
41.44360376,-9.30476334,-18.49556,290.03300032692493
41.44360376,-9.30476334,-15.810073,290.18700033423954
41.44360376,-9.30476334,-13.467138,290.31000034008173
41.44360376,-9.30476334,-11.405003,290.4020003444515
41.44360376,-9.30476334,-9.572997,290.46400034739634
41.44360376,-9.30476334,-7.92956,290.50600034939123
41.44360376,-9.30476334,-6.440614,290.53900035095864
41.44360376,-9.30476334,-5.0782237,290.57100035247856
41.44360376,-9.30476334,-3.8194947,290.6050003540935
41.44360376,-9.30476334,-2.6456685,290.64700035608837
41.44360376,-9.30476334,-1.5413754,290.69800035851074
41.44360376,-9.30476334,-0.49402538,290.72800035993566
41.44360376,-9.27698471,-5727.9165,
41.44360376,-9.27698471,-5274.784,
41.44360376,-9.27698471,-4833.2905,
41.44360376,-9.27698471,-4405.224,
41.44360376,-9.27698471,-3992.484,
41.44360376,-9.27698471,-3597.032,
41.44360376,-9.27698471,-3220.8203,
41.44360376,-9.27698471,-2865.7026,
41.44360376,-9.27698471,-2533.3362,
41.44360376,-9.27698471,-2225.078,
41.44360376,-9.27698471,-1941.8934,
41.44360376,-9.27698471,-1684.2844,
41.44360376,-9.27698471,-1452.251,
41.44360376,-9.27698471,-1245.2911,283.86000003372317
41.44360376,-9.27698471,-1062.4397,284.4340000609867
41.44360376,-9.27698471,-902.3393,284.9770000867778
41.44360376,-9.27698471,-763.33307,285.2660001005046
41.44360376,-9.27698471,-643.56683,285.23200009888967
41.44360376,-9.27698471,-541.0889,284.93200008464044
41.44360376,-9.27698471,-453.93774,284.77500007718334
41.44360376,-9.27698471,-380.213,284.8320000798907
41.44360376,-9.27698471,-318.12744,285.0680000911001
41.44360376,-9.27698471,-266.04025,285.35300010463686
41.44360376,-9.27698471,-222.47517,285.6820001202635
41.44360376,-9.27698471,-186.12556,285.9630001336103
41.44360376,-9.27698471,-155.85072,286.21700014567466
41.44360376,-9.27698471,-130.66599,286.483000158309
41.44360376,-9.27698471,-109.72928,286.76800017184576
41.44360376,-9.27698471,-92.32607,287.05100018528753
41.44360376,-9.27698471,-77.85385,287.2940001968294
41.44360376,-9.27698471,-65.807274,287.51700020742135
41.44360376,-9.27698471,-55.76429,287.74800021839326
41.44360376,-9.27698471,-47.373688,288.03200023188253
41.44360376,-9.27698471,-40.34405,288.3520002470817
41.44360376,-9.27698471,-34.434155,288.7210002646083
41.44360376,-9.27698471,-29.444729,289.0680002810899
41.44360376,-9.27698471,-25.211409,289.3720002955291
41.44360376,-9.27698471,-21.598816,289.63700030811594
41.44360376,-9.27698471,-18.49556,289.8540003184229
41.44360376,-9.27698471,-15.810073,290.02300032644996
41.44360376,-9.27698471,-13.467138,290.15200033257713
41.44360376,-9.27698471,-11.405003,290.2480003371369
41.44360376,-9.27698471,-9.572997,290.3170003404142
41.44360376,-9.27698471,-7.92956,290.3630003425991
41.44360376,-9.27698471,-6.440614,290.4000003443565
41.44360376,-9.27698471,-5.0782237,290.4360003460664
41.44360376,-9.27698471,-3.8194947,290.4730003478238
41.44360376,-9.27698471,-2.6456685,290.5170003499137
41.44360376,-9.27698471,-1.5413754,290.57100035247856
41.44360376,-9.27698471,-0.49402538,290.606000354141
41.44360376,-9.24920608,-5727.9165,
41.44360376,-9.24920608,-5274.784,
41.44360376,-9.24920608,-4833.2905,
41.44360376,-9.24920608,-4405.224,
41.44360376,-9.24920608,-3992.484,
41.44360376,-9.24920608,-3597.032,
41.44360376,-9.24920608,-3220.8203,
41.44360376,-9.24920608,-2865.7026,
41.44360376,-9.24920608,-2533.3362,
41.44360376,-9.24920608,-2225.078,
41.44360376,-9.24920608,-1941.8934,
41.44360376,-9.24920608,-1684.2844,
41.44360376,-9.24920608,-1452.251,
41.44360376,-9.24920608,-1245.2911,
41.44360376,-9.24920608,-1062.4397,
41.44360376,-9.24920608,-902.3393,
41.44360376,-9.24920608,-763.33307,285.2650001004571
41.44360376,-9.24920608,-643.56683,285.2530000998871
41.44360376,-9.24920608,-541.0889,284.95800008587537
41.44360376,-9.24920608,-453.93774,284.84700008060315
41.44360376,-9.24920608,-380.213,284.899000083073
41.44360376,-9.24920608,-318.12744,285.08400009186005
41.44360376,-9.24920608,-266.04025,285.35000010449437
41.44360376,-9.24920608,-222.47517,285.66400011940857
41.44360376,-9.24920608,-186.12556,285.93900013247037
41.44360376,-9.24920608,-155.85072,286.18500014415474
41.44360376,-9.24920608,-130.66599,286.42000015531664
41.44360376,-9.24920608,-109.72928,286.6770001675235
41.44360376,-9.24920608,-92.32607,286.9460001803003
41.44360376,-9.24920608,-77.85385,287.1850001916522
41.44360376,-9.24920608,-65.807274,287.39900020181665
41.44360376,-9.24920608,-55.76429,287.6160002121236
41.44360376,-9.24920608,-47.373688,287.87300022433044
41.44360376,-9.24920608,-40.34405,288.1580002378672
41.44360376,-9.24920608,-34.434155,288.50400025430133
41.44360376,-9.24920608,-29.444729,288.84400027045046
41.44360376,-9.24920608,-25.211409,289.1480002848897
41.44360376,-9.24920608,-21.598816,289.422000297904
41.44360376,-9.24920608,-18.49556,289.6630003093509
41.44360376,-9.24920608,-15.810073,289.8480003181379
41.44360376,-9.24920608,-13.467138,289.98800032478755
41.44360376,-9.24920608,-11.405003,290.0920003297273
41.44360376,-9.24920608,-9.572997,290.1670003332896
