frequency,spl_le,spl_te
20.0,,
20.13877262952056,,
20.27850815117631,,
20.419213246120933,,
20.560894641866188,,
20.70355911260353,,
20.84721347952804,,
20.991864611164555,,
21.137519423696084,,
21.28418488129449,,
21.431867996453427,,
21.580575830323685,,
21.73031549305077,,
21.88109414411485,,
22.03291899267313,,
22.185797297904458,,
22.339736369356466,,
22.494743567295043,,
22.650826303056235,,
22.80799203940065,,
22.966248290870222,,
23.12560262414752,,
23.28606265841754,,
23.44763606573197,,
23.610330571376103,,
23.77415395423807,,
23.939114047180876,,
24.105218737416852,,
24.27247596688481,,
24.440893732629764,,
24.610480087185238,,
24.781243138958327,,
24.9531910526174,49.63009711777087,
25.12633204948242,49.66055611265174,
25.300674407918063,49.69122645127322,28.250523523264825
25.47622646372957,49.72210960007163,28.283483639678717
25.65299661056121,49.75320703565838,28.316672454193807
25.830993300297685,49.78452024489051,28.350091553661944
26.01022504346819,49.81605072494183,28.383742535945554
26.190700409653346,49.84779998337449,28.417627009994032
26.372428027894973,49.87976953821106,28.45174659592069
26.5554165871086,49.91196091800709,28.486102925080218
26.73967483649893,49.94437566192423,28.520697640146643
26.92521158597821,49.9770153198038,28.55553239519194
27.112035706587367,50.00988145224089,28.590608855765044
27.30015613092028,50.042975630659015,28.62592869897156
27.48958185355075,50.07629943738518,28.661493613553866
27.68032193146264,50.1098544657256,28.69730529997194
27.87238548448286,50.14364232004184,28.733365470484607
28.06578169571745,50.177664615827545,28.76967584923141
28.26051981199068,50.21192297978568,28.806238172315112
28.456609144287057,50.24641904990629,28.84305418788459
28.654059068196624,50.28115447554484,28.88012565621852
28.852879024363165,50.31613091750105,28.917454349809496
29.053078518935628,50.35135004809835,28.955042053448786
29.254667124022603,50.38681355126376,28.992890564311647
29.45765447815005,50.42252312260848,29.031001692043308
29.66205028672209,50.45848046950894,29.069377258845435
29.86786432248505,50.49468731118839,29.10801909956329
30.07510642599477,50.53114537879917,29.16197536482275
30.283786506087043,50.56785641550543,29.21808121166892
30.49391454035148,50.60482217656649,29.274576356310003
30.705500575608458,50.64204442942079,29.33146349993994
30.91855472838956,50.679524953770354,29.38874536249525
31.13308718542125,50.7172655416659,29.44642468278509
31.349108204111904,50.75526799759255,29.50450421862221
31.566628113042352,50.793534138556055,29.562986746954795
31.785657312459563,50.8035408666141,29.621875063999276
32.00620627477402,50.79537608858028,29.681171985373965
32.2282855450604,50.78715465816059,29.74088034623374
32.451905741561745,50.778876182265016,29.801003001405554
32.677077556197226,50.77054026507602,29.86154282552497
32.90381175507326,50.76214650802964,29.92250271317357
33.132119178998295,50.7536945097964,29.983885579017397
33.36201074400119,50.7451838662622,30.04569435794625
33.59349744185307,50.736614170508886,30.10793200521406
33.826590340592965,50.72798501279488,30.170601496580208
34.06130058505689,50.71929598053555,30.233705828451736
34.297639397410805,50.71054665828349,30.29724801802666
34.535618077687126,50.70173662770865,30.361231103438225
34.775248004325015,50.692865467578365,30.42565814390016
35.01654063471449,50.68393275373717,30.49053221985295
35.25950750574412,50.67493805908654,30.555856433111124
35.50416023435271,50.6658809535645,30.62163390701156
35.75051051808472,50.656761004125,30.687867786562816
35.99857013564954,50.64757777471727,30.7545612385955
36.24835094748474,50.638330826264905,30.821717451913702
36.499864896323054,50.62901971664496,30.889339637447453
36.75312400776343,50.619644000666725,30.957431028406223
37.008140390846044,50.610203230050494,31.025994880433547
37.264926238631205,50.600696953406114,31.095034471762663
37.523493828782414,50.59112471621138,31.164553103373265
37.78385552415333,50.581486060790354,31.23455409914933
38.0460237733789,50.57178052629144,31.30504080603805
38.310011111470565,50.56200764866536,31.376016594209823
38.57583016041556,50.55216696064296,31.44748485721944
38.84349362978051,50.54225799171292,31.519449012168312
39.113014317318985,50.53228026809916,31.591912499867863
39.384405109583454,50.52223331273827,31.664878785004028
39.65767898254144,50.51211664525668,31.738351356302925
39.93284900219587,50.50192978194767,31.81028110866744
40.209928325209965,50.484873452888365,31.86420688638904
40.488930199536085,50.46361982718792,31.918506835209307
40.76986796504927,50.4422187304112,31.973183551363604
41.05275505418505,50.42066913931077,32.02823964910162
41.337604992581646,50.39897002353924,32.08367776081234
41.62443139972677,50.377120345600005,32.13950053714995
41.91324798960866,50.35511906079768,32.19571064716054
42.20406857137191,50.33296511718813,32.25231077840972
42.49690704997767,50.31065745552811,32.309303637111135
42.79177742686844,50.28819500922475,32.366691948255834
43.08869380063767,50.26557670428444,32.42447845574261
43.38767036770369,50.242801459261536,32.48266592250911
43.68872142298855,50.21986818520664,32.54125713066404
43.991861360601504,50.19677578561454,32.60025488162009
44.29710467452719,50.17352315637178,32.659661996227925
44.60446595931875,50.15010918570385,32.71948131491109
44.91395991079549,50.12653275412206,32.77971569780175
45.225601326745576,50.102792734370006,32.84036802487746
45.539405107633605,50.07888799136966,32.90144119609892
45.85538625731298,50.05481738216712,32.962938131548555
46.17355988374338,50.0305797558779,33.02486177157018
46.49394119971296,50.006173953632015,33.08721507690957
46.81654552356587,49.98159880851846,33.150001028856025
47.14138827993456,49.9568531455295,33.21322262938491
47.46848500047733,49.93193578150443,33.27688290130118
47.79785132462101,49.90684552507303,33.34098488838395
48.12950300030849,49.88158117659862,33.405531655531966
48.463455884752,49.856141528120666,33.470526288910186
48.79972594519101,49.83052536329704,33.535971896097344
49.13832925965581,49.80473145734587,33.60187160623449
49.47928201773629,49.77875857698698,33.66822857017467
49.822600521355774,49.73935890592727,33.73504596063348
50.1683011855508,49.69640844667024,33.79258457579838
50.5164005392557,49.6531599700047,33.839915220748594
50.866915226093,49.60961140809768,33.88757427560164
51.2198620051692,49.56576067876827,33.93556401907281
51.57525775187602,49.521605685388096,33.983886745688544
51.93311945869743,49.47714431678102,34.03254476589618
52.29346423602185,49.43237444712227,34.081540406174405
52.65630931296043,49.38729393583672,34.130876009144444
53.021672038170784,49.34190062749662,34.18055393368214
53.38956988068642,49.29619235171846,34.2305765550307
53.76002043075213,49.25016692305928,34.28094626491426
54.13304140066484,49.203822140912095,34.33166547165226
54.50865062562059,49.15715578940076,34.38273660027457
54.88686606456732,49.11016563727396,34.43416209263745
55.26770580106341,49.06284943779856,34.48594440754032
55.65118804414249,49.01520492865213,34.53808602084327
56.03733112918391,48.96722983181489,34.59058942558549
56.42615351878945,48.91892185346067,34.64345713210446
56.81767380366609,48.870278683847296,34.69669166815594
57.211910703514846,48.82129799720615,34.75029557903488
57.60888306792594,48.77197745163096,34.80427142769709
58.00860987727984,48.722314688965824,34.85862179488177
58.41111024365494,48.67230733469247,34.913349279234936
58.81640341174128,48.62195299781673,34.96845649743363
59.224508759760695,48.57124927075418,35.02394608431108
59.63544580039345,48.52019372921509,35.07982069298262
60.04923418171099,48.46878393208845,35.11304680146141
60.46589368811557,48.41701742132528,35.146387725398
