latitude,longitude,altitude,salinity
41.44360376,-9.304763340000001,-5727.9165,
41.44360376,-9.304763340000001,-5274.784,
41.44360376,-9.304763340000001,-4833.2905,
41.44360376,-9.304763340000001,-4405.224,
41.44360376,-9.304763340000001,-3992.484,
41.44360376,-9.304763340000001,-3597.032,
41.44360376,-9.304763340000001,-3220.8203,
41.44360376,-9.304763340000001,-2865.7026,
41.44360376,-9.304763340000001,-2533.3362,
41.44360376,-9.304763340000001,-2225.078,
41.44360376,-9.304763340000001,-1941.8934,
41.44360376,-9.304763340000001,-1684.2844,
41.44360376,-9.304763340000001,-1452.251,0.03568100074480753
41.44360376,-9.304763340000001,-1245.2911,0.036104000764898954
41.44360376,-9.304763340000001,-1062.4397,0.03616000076755881
41.44360376,-9.304763340000001,-902.3393,0.03615200076717883
41.44360376,-9.304763340000001,-763.33307,0.03610000076470897
41.44360376,-9.304763340000001,-643.56683,0.0360090007603867
41.44360376,-9.304763340000001,-541.0889,0.03585800075321458
41.44360376,-9.304763340000001,-453.93774,0.03568800074514002
41.44360376,-9.304763340000001,-380.213,0.03564100074290764
41.44360376,-9.304763340000001,-318.12744,0.035629000742337665
41.44360376,-9.304763340000001,-266.04025,0.03562400074210018
41.44360376,-9.304763340000001,-222.47517,0.03563600074267015
41.44360376,-9.304763340000001,-186.12556,0.035652000743430105
41.44360376,-9.304763340000001,-155.85072,0.03566400074400008
41.44360376,-9.304763340000001,-130.66599,0.035666000744095074
41.44360376,-9.304763340000001,-109.72928,0.03566200074390508
41.44360376,-9.304763340000001,-92.32607,0.03565000074333512
41.44360376,-9.304763340000001,-77.85385,0.03562800074229017
41.44360376,-9.304763340000001,-65.807274,0.035587000740342774
41.44360376,-9.304763340000001,-55.76429,0.03552600073744543
41.44360376,-9.304763340000001,-47.373688,0.03543900073331315
41.44360376,-9.304763340000001,-40.34405,0.03533700072846841
41.44360376,-9.304763340000001,-34.434155,0.03521700072276872
41.44360376,-9.304763340000001,-29.444729,0.035116000717971475
41.44360376,-9.304763340000001,-25.211409,0.035028000713791696
41.44360376,-9.304763340000001,-21.598816,0.034959000710514374
41.44360376,-9.304763340000001,-18.49556,0.03489500070747454
41.44360376,-9.304763340000001,-15.810073,0.034846000705147165
41.44360376,-9.304763340000001,-13.467138,0.034809000703389756
41.44360376,-9.304763340000001,-11.405003,0.034782000702107324
41.44360376,-9.304763340000001,-9.572997,0.034762000701157376
41.44360376,-9.304763340000001,-7.92956,0.03475100070063491
41.44360376,-9.304763340000001,-6.440614,0.03474600070039742
41.44360376,-9.304763340000001,-5.0782237,0.03474300070025493
41.44360376,-9.304763340000001,-3.8194947,0.03474100070015993
41.44360376,-9.304763340000001,-2.6456685,0.03474000070011243
41.44360376,-9.304763340000001,-1.5413754,0.034739000700064936
41.44360376,-9.304763340000001,-0.49402538,0.03473700069996994
41.44360376,-9.27698471,-5727.9165,
41.44360376,-9.27698471,-5274.784,
41.44360376,-9.27698471,-4833.2905,
41.44360376,-9.27698471,-4405.224,
41.44360376,-9.27698471,-3992.484,
41.44360376,-9.27698471,-3597.032,
41.44360376,-9.27698471,-3220.8203,
41.44360376,-9.27698471,-2865.7026,
41.44360376,-9.27698471,-2533.3362,
41.44360376,-9.27698471,-2225.078,
41.44360376,-9.27698471,-1941.8934,
41.44360376,-9.27698471,-1684.2844,
41.44360376,-9.27698471,-1452.251,
41.44360376,-9.27698471,-1245.2911,0.03609200076432899
41.44360376,-9.27698471,-1062.4397,0.03616000076755881
41.44360376,-9.27698471,-902.3393,0.036149000767036345
41.44360376,-9.27698471,-763.33307,0.03610700076504145
41.44360376,-9.27698471,-643.56683,0.03603000076138414
41.44360376,-9.27698471,-541.0889,0.035874000753974546
41.44360376,-9.27698471,-453.93774,0.03569600074552
41.44360376,-9.27698471,-380.213,0.03564500074309763
41.44360376,-9.27698471,-318.12744,0.03563400074257515
41.44360376,-9.27698471,-266.04025,0.03563000074238516
41.44360376,-9.27698471,-222.47517,0.035637000742717646
41.44360376,-9.27698471,-186.12556,0.03565000074333512
41.44360376,-9.27698471,-155.85072,0.03566200074390508
41.44360376,-9.27698471,-130.66599,0.035666000744095074
41.44360376,-9.27698471,-109.72928,0.03566200074390508
41.44360376,-9.27698471,-92.32607,0.03565000074333512
41.44360376,-9.27698471,-77.85385,0.03562600074219518
41.44360376,-9.27698471,-65.807274,0.03558100074005779
41.44360376,-9.27698471,-55.76429,0.03551400073687546
41.44360376,-9.27698471,-47.373688,0.035423000732553195
41.44360376,-9.27698471,-40.34405,0.035321000727708454
41.44360376,-9.27698471,-34.434155,0.03521300072257873
41.44360376,-9.27698471,-29.444729,0.03511800071806647
41.44360376,-9.27698471,-25.211409,0.03503100071393419
41.44360376,-9.27698471,-21.598816,0.034958000710466876
41.44360376,-9.27698471,-18.49556,0.03489500070747454
41.44360376,-9.27698471,-15.810073,0.03484500070509967
41.44360376,-9.27698471,-13.467138,0.03480700070329476
41.44360376,-9.27698471,-11.405003,0.03477900070196483
41.44360376,-9.27698471,-9.572997,0.03475900070101488
41.44360376,-9.27698471,-7.92956,0.03474600070039742
41.44360376,-9.27698471,-6.440614,0.034739000700064936
41.44360376,-9.27698471,-5.0782237,0.034735000699874945
41.44360376,-9.27698471,-3.8194947,0.03473300069977995
41.44360376,-9.27698471,-2.6456685,0.034731000699684954
41.44360376,-9.27698471,-1.5413754,0.034730000699637456
41.44360376,-9.27698471,-0.49402538,0.03472800069954246
41.44360376,-9.24920608,-5727.9165,
41.44360376,-9.24920608,-5274.784,
