latitude,longitude,altitude,temperature
41.443604,-9.304764,-5727.9165,
41.443604,-9.304764,-5274.784,
41.443604,-9.304764,-4833.2905,
41.443604,-9.304764,-4405.224,
41.443604,-9.304764,-3992.484,
41.443604,-9.304764,-3597.032,
41.443604,-9.304764,-3220.8203,
41.443604,-9.304764,-2865.7026,
41.443604,-9.304764,-2533.3362,
41.443604,-9.304764,-2225.078,
41.443604,-9.304764,-1941.8934,
41.443604,-9.304764,-1684.2844,
41.443604,-9.304764,-1452.251,280.88385
41.443604,-9.304764,-1245.2911,283.59625
41.443604,-9.304764,-1062.4397,284.4318
41.443604,-9.304764,-902.3393,285.07272
41.443604,-9.304764,-763.33307,285.25977
41.443604,-9.304764,-643.56683,285.16498
41.443604,-9.304764,-541.0889,285.016
41.443604,-9.304764,-453.93774,284.97067
41.443604,-9.304764,-380.213,285.07434
41.443604,-9.304764,-318.12744,285.28235
41.443604,-9.304764,-266.04025,285.56223
41.443604,-9.304764,-222.47517,285.83536
41.443604,-9.304764,-186.12556,286.12704
41.443604,-9.304764,-155.85072,286.4066
41.443604,-9.304764,-130.66599,286.66528
41.443604,-9.304764,-109.72928,287.01883
41.443604,-9.304764,-92.32607,287.3551
41.443604,-9.304764,-77.85385,287.44574
41.443604,-9.304764,-65.807274,287.45493
41.443604,-9.304764,-55.76429,287.45
41.443604,-9.304764,-47.373688,287.44565
41.443604,-9.304764,-40.34405,287.44235
41.443604,-9.304764,-34.434155,287.43906
41.443604,-9.304764,-29.444729,287.43607
41.443604,-9.304764,-25.211409,287.43335
41.443604,-9.304764,-21.598816,287.43097
41.443604,-9.304764,-18.49556,287.4292
41.443604,-9.304764,-15.810073,287.42783
41.443604,-9.304764,-13.467138,287.42682
41.443604,-9.304764,-11.405003,287.4259
41.443604,-9.304764,-9.572997,287.42502
41.443604,-9.304764,-7.92956,287.4241
41.443604,-9.304764,-6.440614,287.42316
41.443604,-9.304764,-5.0782237,287.42212
41.443604,-9.304764,-3.8194947,287.42093
41.443604,-9.304764,-2.6456685,287.4196
41.443604,-9.304764,-1.5413754,287.41797
41.443604,-9.304764,-0.49402538,287.416
41.443604,-9.276985,-5727.9165,
41.443604,-9.276985,-5274.784,
41.443604,-9.276985,-4833.2905,
41.443604,-9.276985,-4405.224,
41.443604,-9.276985,-3992.484,
41.443604,-9.276985,-3597.032,
41.443604,-9.276985,-3220.8203,
